----system---- --total-cpu-usage-- -dsk/total- ------memory-usage----- ------tcp-sockets------- -net/total-
     time     |usr sys idl wai stl| read  writ| used  free  buff  cach|lis  act  syn  tim  clo | recv  send
23-11 16:58:15|  3   0  96   1   0| 797k 2660k| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:16|  4   8  89   0   0|   0    10M| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:17|  0   0 100   0   0|   0   688k| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:18|  0   1  98   1   0|   0  7288k| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:19|  0   0 100   0   0|   0   144k| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:20|  0   0  99   1   0|   0  2376k| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:21|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:22|  0   0 100   0   0|   0    10M| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:23|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:24|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:25|  0   0 100   0   0|   0    96k| 597M 1362M  109M 1561M|  9    3    1    3    0 |   0    58B
23-11 16:58:26|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    3    1    3    0 |   0     0 
23-11 16:58:27|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    5    1    3    0 | 533B  598B
23-11 16:58:28|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    5    1    3    0 |   0     0 
23-11 16:58:29|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    5    1    3    0 |   0     0 
23-11 16:58:30|  0   0 100   0   0|   0    32k| 597M 1362M  109M 1561M|  9    5    1    3    0 |   0     0 
23-11 16:58:31|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    5    1    3    0 |  76B   90B
23-11 16:58:32|  0   0 100   0   0|   0     0 | 597M 1362M  109M 1561M|  9    5    1    3    0 |  56B   84B
