----system---- --total-cpu-usage-- -dsk/total- ------memory-usage----- ------tcp-sockets------- -net/total-
     time     |usr sys idl wai stl| read  writ| used  free  buff  cach|lis  act  syn  tim  clo | recv  send
23-11 06:26:54|  5   0  92   3   0| 475k 3268k| 625M  450M  108M 2311M|  9    4    1    2    0 |   0     0 
23-11 06:26:55|  1   1  97   1   0|   0   704k| 625M  450M  108M 2311M|  9    4    1    2    0 |   0     0 
23-11 06:26:56| 49   1  50   0   0|   0   664k| 636M  440M  108M 2311M|  9    4    1    2    0 | 192B  712B
23-11 06:26:57| 50   1  48   1   0|   0  6848k| 636M  439M  108M 2311M|  9    4    1    2    0 |   0     0 
23-11 06:26:58| 50   0  50   0   0|   0   136k| 636M  439M  108M 2311M|  9    4    1    2    0 |   0    58B
23-11 06:26:59| 50   0  50   0   0|   0  8192B| 637M  439M  108M 2311M|  9    4    1    2    0 |   0     0 
23-11 06:27:00| 20   6  45  28   0|3824k   42M| 709M  549M  108M 2130M|  9   10    1    3    0 |   0     0 
23-11 06:27:01| 46   4  43   8   0|  64k   69M| 717M  525M  108M 2146M|  9   10    1    3    0 |   0     0 
23-11 06:27:02| 48   3  41   8   0|   0    69M| 731M  498M  108M 2159M|  9   10    1    3    0 |  76B   90B
23-11 06:27:03| 49   3  37  11   0|  32k   65M| 739M  480M  108M 2170M|  9   10    1    3    0 |   0     0 
23-11 06:27:04| 44   3  38  15   0|2512k   78M| 745M  459M  108M 2184M|  9   10    1    3    0 |   0     0 
23-11 06:27:05| 44   4  36  15   0|   0    91M| 753M  436M  108M 2199M|  9   10    1    3    0 |   0     0 
23-11 06:27:06| 43   3  37  17   0|   0    77M| 759M  417M  108M 2213M|  9   10    1    3    0 |   0     0 
23-11 06:27:07| 42   4  37  17   0|   0    91M| 766M  400M  108M 2222M|  9   10    1    3    0 |   0     0 
23-11 06:27:08| 43   2  39  15   0|  32k   95M| 777M  390M  108M 2222M|  9   10    1    3    0 |  28B   42B
23-11 06:27:09| 44   4  37  15   0|  32k   99M| 788M  378M  108M 2222M|  9   10    1    3    0 |   0     0 
23-11 06:27:10| 35   4  37  24   0|   0   112M| 799M  367M  108M 2222M|  9   10    1    3    0 |   0     0 
23-11 06:27:11| 35   3  38  23   0|2752k  125M| 808M  357M  108M 2223M|  9   10    1    3    0 |   0     0 
23-11 06:27:12| 44   3  33  20   0|   0   125M| 817M  348M  108M 2223M|  9   10    1    3    0 |   0     0 
23-11 06:27:13| 44   2  36  19   0|   0   123M| 827M  339M  108M 2223M|  9   10    1    3    0 |   0     0 
23-11 06:27:14| 43   3  34  20   0|   0   116M| 836M  330M  108M 2223M|  9   10    1    3    0 |   0    58B
23-11 06:27:15| 26   5  38  31   0| 130M  124M| 897M  267M  108M 2224M|  9   10    1    6    0 | 280B  653B
23-11 06:27:16| 17   3  29  51   0|  86M   16M| 949M  216M  108M 2224M|  9   10    1    6    0 |   0     0 
23-11 06:27:17| 21   2  23  53   0|  83M   20M| 998M  166M  108M 2224M|  9   10    1    6    0 |   0     0 
23-11 06:27:18| 24   3  20  52   0|  82M   21M|1048M  117M  108M 2224M|  9   10    1    6    0 |  76B   90B
23-11 06:27:19| 26   4  20  51   0|  81M   25M|1090M  121M  108M 2178M|  9   10    1    6    0 |   0     0 
23-11 06:27:20| 29   4  22  45   0|  79M   25M|1137M  102M  108M 2151M|  9   10    1    6    0 |   0     0 
23-11 06:27:21| 32   4  25  39   0|  77M   30M|1176M  114M  108M 2100M|  9   10    1    6    0 |   0     0 
23-11 06:27:22| 42   2  35  22   0|  80M   25M|1178M  114M  108M 2099M|  9   10    1    6    0 |   0     0 
23-11 06:27:23| 37   4  17  43   0|  41M   84M|1197M  114M  108M 2080M|  9   10    1    6    0 |   0     0 
23-11 06:27:24| 33   3  18  45   0|  36M   90M|1216M  114M  108M 2061M|  9   10    1    6    0 |   0     0 
23-11 06:27:25| 37   4  14  45   0|  39M   85M|1236M  114M  108M 2041M|  9   10    1    6    0 |   0     0 
23-11 06:27:26| 27   2  19  52   0|  29M   98M|1221M  151M  108M 2019M|  9   10    1    6    0 |   0     0 
23-11 06:27:27| 31   4  19  46   0|  17M  106M|1245M  153M  108M 1993M|  9    6    1    8    0 |  52B  222B
23-11 06:27:28| 57   8  13  22   0|1632k  133M|1298M  131M  108M 1961M|  9   14    1    8    0 | 104B  596B
23-11 06:27:29| 53   2  25  21   0|1120k  107M|1281M  174M  108M 1936M|  9   14    1    8    0 |   0     0 
23-11 06:27:30| 52   1  28  19   0|2272k   98M|1305M  173M  108M 1913M|  9   16    1    9    0 |  52B  182B
23-11 06:27:31| 51   3  28  18   0|   0   102M|1325M  178M  108M 1889M|  9   16    1    9    0 |  52B  406B
23-11 06:27:32| 52   1  29  18   0|   0    96M|1298M  228M  108M 1866M|  9   16    1    9    0 |   0     0 
23-11 06:27:33| 47   1  37  15   0|  15M   13M|1301M  228M  108M 1863M|  9   22    1   15    0 | 312B 7536B
23-11 06:27:34| 51   0  45   3   0|1600k   10M|1303M  229M  108M 1861M|  9   22    1   15    0 |   0     0 
23-11 06:27:35| 56   2  19  23   0|1120k  128M|1291M  272M  108M 1831M|  9   24    1   16    0 | 128B  256B
23-11 06:27:36| 52   2  30  17   0| 480k   93M|1302M  279M  108M 1812M|  9   24    1   16    0 |  52B  406B
23-11 06:27:37| 50   5  30  16   0|3968k   76M|1285M  314M  108M 1795M|  9   60    1   38    0 | 676B 3376B
23-11 06:27:38| 97   2   0   0   0| 448k   75M|1294M  323M  108M 1777M|  9   64    1   40    0 | 312B   19k
23-11 06:27:39| 98   2   0   0   0| 608k   66M|1303M  331M  108M 1761M|  9   70    1   42    0 | 156B 4728B
23-11 06:27:40| 99   0   0   0   0| 480k   59M|1284M  363M  108M 1747M|  9   70    1   44    0 | 284B 4390B
23-11 06:27:41| 98   1   0   1   0| 640k   52M|1277M  382M  108M 1735M|  9   74    1   46    0 | 208B 4728B
23-11 06:27:42| 97   2   0   1   0|1824k   44M|1280M  389M  108M 1725M|  9   84    1   70    0 | 464B   11k
23-11 06:27:43| 98   2   0   0   0|   0    45M|1291M  389M  108M 1715M|  9   88    1   72    0 | 168B 5352B
23-11 06:27:44| 98   2   0   0   0|  64k   38M|1277M  412M  108M 1706M|  9   92    1   74    0 | 324B 4728B
23-11 06:27:45| 98   2   0   0   0|  64k   34M|1277M  420M  108M 1698M|  9   96    1   76    0 | 156B 2792B
23-11 06:27:46| 93   4   1   3   0|5288k   19M|1282M  420M  108M 1694M|  9  104    1   99    0 | 364B 7572B
23-11 06:27:47| 99   1   0   0   0| 160k   36M|1274M  436M  108M 1686M|  9  108    0  101    0 | 260B 8746B
23-11 06:27:48| 99   1   0   0   0|   0    23M|1279M  436M  108M 1680M|  9  112    0  103    0 | 208B 4508B
23-11 06:27:49| 99   1   0   0   0|  64k   21M|1284M  436M  108M 1675M|  9  116    0  105    0 | 208B 4508B
23-11 06:27:50| 99   1   0   0   0|   0    20M|1267M  458M  108M 1671M|  9  120    0  107    0 | 208B 4508B
23-11 06:27:51| 96   3   0   0   0|2400k 9280k|1269M  458M  108M 1669M|  9  130    0  128    0 | 492B   13k
23-11 06:27:52| 99   1   0   0   0|8192B   22M|1275M  458M  108M 1664M|  9  134    0  130    0 | 220B 3214B
23-11 06:27:53| 99   1   0   0   0|  96k   13M|1277M  458M  108M 1661M|  9  138    0  132    0 | 208B 4728B
23-11 06:27:54| 99   1   0   0   0|   0    11M|1278M  458M  108M 1660M|  9  142    0  134    0 | 308B 5106B
23-11 06:27:55| 95   4   0   0   0|1024k 9008k|1279M  458M  108M 1659M|  9  170    0  157    0 | 416B   12k
23-11 06:27:56|100   0   0   0   0|  32k   19M|1281M  458M  108M 1658M|  9  174    0  159    0 | 272B 4378B
23-11 06:27:57|100   0   0   0   0|   0    14M|1278M  461M  108M 1657M|  9  180    0  161    0 | 272B 5356B
